event_date,contract,source_market,target_market,lag_minute,FEVD
2025-06-18,0bp,CME,PM,30,0.002060934178173241
2025-06-18,0bp,CME,PM,60,0.003398665747458315
2025-06-18,0bp,PM,CME,1,5.4581750232299595e-05
2025-06-18,0bp,PM,CME,5,0.00044230498184879647
2025-06-18,0bp,PM,CME,30,0.002097420242194111
2025-06-18,0bp,PM,CME,60,0.0033894314354580477
2025-06-18,0bp,CME,KAL,1,7.164370182727812e-07
2025-06-18,0bp,CME,KAL,5,1.854648848099116e-05
2025-06-18,0bp,CME,KAL,30,0.0006205111094061482
2025-06-18,0bp,CME,KAL,60,0.0016562125006117344
2025-06-18,0bp,KAL,CME,1,1.7497747613072014e-05
2025-06-18,0bp,KAL,CME,5,0.000117084862871837
2025-06-18,0bp,KAL,CME,30,0.0009952775046754097
2025-06-18,0bp,KAL,CME,60,0.001787744602755012
2025-06-18,0bp,PM,KAL,1,0.00016527213598234124
2025-06-18,0bp,PM,KAL,5,0.0002382447839262085
2025-06-18,0bp,PM,KAL,30,0.000998777464362427
2025-06-18,0bp,PM,KAL,60,0.0021586629922543676
2025-06-18,0bp,KAL,PM,1,0.000386917776600335
2025-06-18,0bp,KAL,PM,5,0.0006126057072842368
2025-06-18,0bp,KAL,PM,30,0.0018524256930821377
2025-06-18,0bp,KAL,PM,60,0.005378286169358458
2025-07-30,0bp,CME,PM,1,0.003944125094443265
2025-07-30,0bp,CME,PM,5,0.008781891575650434
2025-07-30,0bp,CME,PM,30,0.010881800270525651
2025-07-30,0bp,CME,PM,60,0.012796575243541223
2025-07-30,0bp,PM,CME,1,0.00012587134383390932
2025-07-30,0bp,PM,CME,5,0.00019164924032137587
2025-07-30,0bp,PM,CME,30,0.0029822656394622327
2025-07-30,0bp,PM,CME,60,0.0040014120608870725
2025-07-30,0bp,CME,KAL,1,0.002922946204645203
2025-07-30,0bp,CME,KAL,5,0.006184210580832859
2025-07-30,0bp,CME,KAL,30,0.00713957152377624
2025-07-30,0bp,CME,KAL,60,0.007815690718849157
2025-07-30,0bp,KAL,CME,1,5.134316164889867e-05
2025-07-30,0bp,KAL,CME,5,9.203989324263534e-05
2025-07-30,0bp,KAL,CME,30,0.0011251178045179318
2025-07-30,0bp,KAL,CME,60,0.0014069722727309906
2025-07-30,0bp,PM,KAL,1,0.002745496460949315
2025-07-30,0bp,PM,KAL,5,0.0032585576362069457
2025-07-30,0bp,PM,KAL,30,0.00427392380525369
2025-07-30,0bp,PM,KAL,60,0.004826459824768462
2025-07-30,0bp,KAL,PM,1,0.004171379019173672
2025-07-30,0bp,KAL,PM,5,0.004786272629465038
2025-07-30,0bp,KAL,PM,30,0.0054213630752713345
2025-07-30,0bp,KAL,PM,60,0.005962454960998567
2025-09-17,0bp,CME,PM,1,0.0018671530156183043
2025-09-17,0bp,CME,PM,5,0.006556052103822473
2025-09-17,0bp,CME,PM,30,0.009007459358380671
2025-09-17,0bp,CME,PM,60,0.010855181035137799
2025-09-17,0bp,PM,CME,1,0.0008811286503395737
2025-09-17,0bp,PM,CME,5,0.0017861160226108439
2025-09-17,0bp,PM,CME,30,0.00283134085455852
2025-09-17,0bp,PM,CME,60,0.004108135576789564
2025-09-17,0bp,CME,KAL,1,0.0035151976255978416
2025-09-17,0bp,CME,KAL,5,0.007856438224521273
2025-09-17,0bp,CME,KAL,30,0.010159580513239268
2025-09-17,0bp,CME,KAL,60,0.012147811621671707
2025-09-17,0bp,KAL,CME,1,0.0006353851394373181
2025-09-17,0bp,KAL,CME,5,0.0013465569436908818
2025-09-17,0bp,KAL,CME,30,0.0027170402855744647
2025-09-17,0bp,KAL,CME,60,0.004085331042261941
2025-09-17,0bp,PM,KAL,1,0.007566659813161895
2025-09-17,0bp,PM,KAL,5,0.010165466688133498
2025-09-17,0bp,PM,KAL,30,0.013152464268402735
2025-09-17,0bp,PM,KAL,60,0.014069091804633173
2025-09-17,0bp,KAL,PM,1,0.009945603609820143
2025-09-17,0bp,KAL,PM,5,0.01522555854751608
2025-09-17,0bp,KAL,PM,30,0.018388999954025296
2025-09-17,0bp,KAL,PM,60,0.020688451582200423
2025-10-29,0bp,CME,PM,1,0.00038865497577080974
2025-10-29,0bp,CME,PM,5,0.002287586354674529
2025-10-29,0bp,CME,PM,30,0.004344620338090216
2025-10-29,0bp,CME,PM,60,0.006148987966084259
2025-10-29,0bp,PM,CME,1,0.0003844783699623559
2025-10-29,0bp,PM,CME,5,0.000648846862257654
2025-10-29,0bp,PM,CME,30,0.0022366809639297854
2025-10-29,0bp,PM,CME,60,0.0034797195260474058
2025-10-29,0bp,CME,KAL,1,5.4718568591595594e-05
2025-10-29,0bp,CME,KAL,5,0.0004887297402017431
2025-10-29,0bp,CME,KAL,30,0.0017835097521511959
2025-10-29,0bp,CME,KAL,60,0.0033331256201832534
2025-10-29,0bp,KAL,CME,1,0.0005371720377843263
2025-10-29,0bp,KAL,CME,5,0.0005387273762971825
2025-10-29,0bp,KAL,CME,30,0.0010602790921217062
2025-10-29,0bp,KAL,CME,60,0.0016079597606244134
2025-10-29,0bp,PM,KAL,1,0.0010084329899466395
2025-10-29,0bp,PM,KAL,5,0.0011858741684033038
2025-10-29,0bp,PM,KAL,30,0.0032079846742723963
2025-10-29,0bp,PM,KAL,60,0.003969189253879647
2025-10-29,0bp,KAL,PM,1,0.0010294900309565703
2025-10-29,0bp,KAL,PM,5,0.0014263617596423776
2025-10-29,0bp,KAL,PM,30,0.0026095790251898653
2025-10-29,0bp,KAL,PM,60,0.0029120977503439495
2025-12-10,0bp,CME,PM,1,0.00035991033986820315
2025-12-10,0bp,CME,PM,5,0.001142250884568284
2025-12-10,0bp,CME,PM,30,0.0020701491443877204
2025-12-10,0bp,CME,PM,60,0.0027331505633433825
2025-12-10,0bp,PM,CME,1,0.00016576065750136706
2025-12-10,0bp,PM,CME,5,0.0003196390356499335
2025-12-10,0bp,PM,CME,30,0.0010656808521861813
2025-12-10,0bp,PM,CME,60,0.001432623307663653
2025-12-10,0bp,CME,KAL,1,0.0002301802875870441
2025-12-10,0bp,CME,KAL,5,0.0007538054163002566
2025-12-10,0bp,CME,KAL,30,0.0018642996581666707
2025-12-10,0bp,CME,KAL,60,0.0022297775481730183
2025-12-10,0bp,KAL,CME,1,0.00022585423727323697
2025-12-10,0bp,KAL,CME,5,0.00044912623615083987
2025-12-10,0bp,KAL,CME,30,0.0009189975901987052
2025-12-10,0bp,KAL,CME,60,0.001129351058587548
2025-12-10,0bp,PM,KAL,1,0.002968518841647826
2025-12-10,0bp,PM,KAL,5,0.0037812766824020403
2025-12-10,0bp,PM,KAL,30,0.004809253402055674
2025-12-10,0bp,PM,KAL,60,0.005339325386159069
2025-12-10,0bp,KAL,PM,1,0.0032550525685399578
2025-12-10,0bp,KAL,PM,5,0.0036593822544505055
2025-12-10,0bp,KAL,PM,30,0.00434737068228066
2025-12-10,0bp,KAL,PM,60,0.005095278814843723
