id,transactionHash,timestamp,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,outcome,datetime,side,usdc_amount,token_amount,price,yes_price,no_price
0x173dcd1c6b3c816d1510b4be7dcab3ca233bf04e71eb78e2e1bb06b4e3e76248_0x85729b150e4bd1d6709beff82f815600d91cb64c1b1aa58479aee6325cd31757,0x173dcd1c6b3c816d1510b4be7dcab3ca233bf04e71eb78e2e1bb06b4e3e76248,1717320691,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,0.009982,0.010217,0.0,YES,2024-06-02 09:31:31+00:00,BUY,0.009982,0.010217,0.9769991191152001,0.9769991191152001,0.023001
0x575597cea7d3bbde4f1e1e839f63717eab9a144fc3c8b2e289c7138edc30ab19_0x36efe9fe5ecc58bf64b16832fd32cd30006a9f65c046323426b5132788f62128,0x575597cea7d3bbde4f1e1e839f63717eab9a144fc3c8b2e289c7138edc30ab19,1717320695,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,0.009982,0.010217,0.0,YES,2024-06-02 09:31:35+00:00,BUY,0.009982,0.010217,0.9769991191152001,0.9769991191152001,0.023001
0x3f845c6997d0ff7fb980f767070939fd3c5db69399d8be8cec86cd5f08b42015_0xfa28121f31c949482b54a23b9c130ea66d26b530a59a5001a05eaf15dc90cabe,0x3f845c6997d0ff7fb980f767070939fd3c5db69399d8be8cec86cd5f08b42015,1717331137,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,1.352458,1.319999,0.0,YES,2024-06-02 12:25:37+00:00,SELL,1.319999,1.352458,0.9759999940848441,0.9759999940848441,0.024
0x770a6b130ca6339696e586fe28a202bd2d9efea291f06eac94ef3b8c3231dc3e_0xfa28121f31c949482b54a23b9c130ea66d26b530a59a5001a05eaf15dc90cabe,0x770a6b130ca6339696e586fe28a202bd2d9efea291f06eac94ef3b8c3231dc3e,1717331267,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,0.010244,0.009998,0.0,YES,2024-06-02 12:27:47+00:00,SELL,0.009998,0.010244,0.9759859429910192,0.9759859429910192,0.024014
0x9bbae868375688c4bc872d9dbf81ebc53e07c8414ad912b3239a45c1e7674acc_0x3d0654cc263982ff6c5ce0180330ed3df08b89e7f196459cc899c3b4e75a04f4,0x9bbae868375688c4bc872d9dbf81ebc53e07c8414ad912b3239a45c1e7674acc,1717331347,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,0.010244,0.009998,0.0,YES,2024-06-02 12:29:07+00:00,SELL,0.009998,0.010244,0.9759859429910192,0.9759859429910192,0.024014
0x759d2118e28fc9c03b6eccee638b9754affb95b8ff9566dcf17369f66b4228b5_0xc98e6dd645a35b134741556036f99d3a38d38afca3cb980bdffecbd87de6a016,0x759d2118e28fc9c03b6eccee638b9754affb95b8ff9566dcf17369f66b4228b5,1717335730,0,88465704193015812461296177724920569739949794882741848131901008619945303668495,1678.1,1730.0,0.0,YES,2024-06-02 13:42:10+00:00,BUY,1678.1,1730.0,0.97,0.97,0.03
0xe267481d22373e337a580e679ba88ab255ee4c32469c9d17d6e651d5e52f7369_0x3d0654cc263982ff6c5ce0180330ed3df08b89e7f196459cc899c3b4e75a04f4,0xe267481d22373e337a580e679ba88ab255ee4c32469c9d17d6e651d5e52f7369,1717336324,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,0.010244,0.009998,0.0,YES,2024-06-02 13:52:04+00:00,SELL,0.009998,0.010244,0.9759859429910192,0.9759859429910192,0.024014
0xf0b282bc90e64ac6018ea1c2a65695ed4d38a5d08949822034d4bafe988afce8_0x3d0654cc263982ff6c5ce0180330ed3df08b89e7f196459cc899c3b4e75a04f4,0xf0b282bc90e64ac6018ea1c2a65695ed4d38a5d08949822034d4bafe988afce8,1717362870,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,25.614753,24.999998,0.0,YES,2024-06-02 21:14:30+00:00,SELL,24.999998,25.614753,0.9759999637708785,0.9759999637708785,0.024
0x4f068bd1a8ee60742bcc77175a1ad19df40e993c428183b971a2d4126e4d0cb5_0x81d40d7482451f28966fd38c436c44b354c27304e62e87d4856e147a6cca9e95,0x4f068bd1a8ee60742bcc77175a1ad19df40e993c428183b971a2d4126e4d0cb5,1717377503,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,0.010244,0.009998,0.0,YES,2024-06-03 01:18:23+00:00,SELL,0.009998,0.010244,0.9759859429910192,0.9759859429910192,0.024014
0x57b51250392f0427c559bf0b1dea1ea86c951c7a29a056e882936b352c34c35a_0x81d40d7482451f28966fd38c436c44b354c27304e62e87d4856e147a6cca9e95,0x57b51250392f0427c559bf0b1dea1ea86c951c7a29a056e882936b352c34c35a,1717377503,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,0.010244,0.009998,0.0,YES,2024-06-03 01:18:23+00:00,SELL,0.009998,0.010244,0.9759859429910192,0.9759859429910192,0.024014
